Model,InputTokens,InputLabel,Metric,Unit,395_Before,395_After_V5,Delta_pct,PositiveMeans,ReferenceContext,ComparisonContext,ReferenceThreads,ComparisonThreads,ReferencePower,ComparisonPower,ReferenceDriver,ComparisonDriver,ReferenceVulkanMemoryMiB,ComparisonVulkanMemoryMiB
GPT-OSS 20B,8192,8K,Throughput (Aggregate),tok/s,18.010000,30.423898,68.9278,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,8192,8K,Throughput (Normalized),tok/s/user,18.010000,30.423898,68.9278,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,16384,16K,TTFT,ms,26037.330000,14615.104300,43.8687,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,16384,16K,TPOT,ms/token,21.040000,13.843074,34.2059,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,16384,16K,Throughput (Aggregate),tok/s,9.280000,15.962868,72.0137,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,16384,16K,Throughput (Normalized),tok/s/user,9.280000,15.962868,72.0137,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,32768,32K,TTFT,ms,68042.570000,39859.071033,41.4204,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,32768,32K,TPOT,ms/token,24.080000,15.749575,34.5948,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,32768,32K,Throughput (Aggregate),tok/s,3.990000,6.728566,68.6357,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,32768,32K,Throughput (Normalized),tok/s/user,3.990000,6.728566,68.6357,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
